ds,yhat
2020-07-23,102.15351955695573
2020-07-24,102.29796439279917
2020-07-27,102.55289011592866
2020-07-28,102.72164847585283
2020-07-29,102.76500839101493
2020-07-30,102.73099853846887
2020-07-31,102.87888767576084
2020-08-03,103.36735657864278
2020-08-04,103.68271771662724
2020-08-05,103.9022243749837
2020-08-06,104.0698927660761
2020-08-07,104.44033327666772
2020-08-10,105.66741093907866
2020-08-11,106.23274699250351
2020-08-12,106.69371838378379
2020-08-13,107.08810849411941
2020-08-14,107.66448821872568
2020-08-17,109.3299555832065
2020-08-18,109.96610754511698
2020-08-19,110.45423032898792
2020-08-20,110.82973491351794
2020-08-21,111.3397330237597
2020-08-24,112.52088421387475
2020-08-25,112.89428334608095
2020-08-26,113.07923755754311
2020-08-27,113.1152931913159
2020-08-28,113.25445823342906
2020-08-31,113.19302272582729
2020-09-01,113.14154362540404
2020-09-02,112.90224620829062
2020-09-03,112.521666681164
2020-09-04,112.2586703459947
2020-09-07,111.1413051466856
2020-09-08,110.8067687935714
2020-09-09,110.32660263901069
2020-09-10,109.75080598870896
2020-09-11,109.34082897529336
2020-09-14,108.08385536129613
2020-09-15,107.80249026880455
2020-09-16,107.4226879718925
2020-09-17,106.99156684547766
